Id,No_REG,event_date,Y,Season,Y-M,cod_mun,Dep,Prov,Mun,Comun,N_comun,p_afect,f_afect,Hec_agr,N_cattle,days,POBLACION,MacroRegID,MacroReg
"1040",2004-00416,31/03/2004,"2004",MAM,mar-04,"11003",Chuquisaca,Luis Calvo,Machareti,Ivo,"1","220","44",0,0,NaN,7418,"5",Chaco
"1041",2004-00417,31/03/2004,"2004",MAM,mar-04,"11003",Chuquisaca,Luis Calvo,Machareti,Ivo Guari,"1","255","51",0,0,NaN,7418,"5",Chaco
"1042",2004-00418,31/03/2004,"2004",MAM,mar-04,"11003",Chuquisaca,Luis Calvo,Machareti,Ipaty de Ivo,"1","265","53",0,0,NaN,7418,"5",Chaco
"1043",2004-00419,31/03/2004,"2004",MAM,mar-04,"11003",Chuquisaca,Luis Calvo,Machareti,Yvoka,"1","95","19",0,0,NaN,7418,"5",Chaco
"1044",2004-00420,31/03/2004,"2004",MAM,mar-04,"11003",Chuquisaca,Luis Calvo,Machareti,Tiquipa-Pueblo,"1","335","67",0,0,NaN,7418,"5",Chaco
"1045",2004-00421,31/03/2004,"2004",MAM,mar-04,"11003",Chuquisaca,Luis Calvo,Machareti,Tentami,"1","120","24",0,0,NaN,7418,"5",Chaco
"1060",2004-00436,02/04/2004,"2004",MAM,apr-04,"40101",Oruro,Cercado,Oruro,Amachuma,"1","3500","700",0,0,NaN,264943,"7",Altiplano
"1064",2004-00440,06/04/2004,"2004",MAM,apr-04,"10101",Chuquisaca,Oropeza,Sucre,San José de Molles,"1","355","71",0,0,NaN,261201,"2",Valles
"1067",2004-00443,07/04/2004,"2004",MAM,apr-04,"10602",Chuquisaca,Yamparaez,Yamparaez,La Mendoza,"1","880","176",0,0,NaN,10111,"2",Valles
"1068",2004-00444,07/04/2004,"2004",MAM,apr-04,"70707",Santa Cruz,Cordillera,Boyuibe,"Pailon, Choroquetal, Chañaral, Pueblo Benemerito, Yuquerito, Taquiparenda, Pueblo Nuevo, Laguna Camatinda, Pozo del Monte y Takuarandi","10","1450","290",0,0,NaN,5087,"5",Chaco
