Data;Thermometer
01/03/20 13:27;10.2
01/03/20 13:28;10.2
01/03/20 13:29;10.4
01/03/20 13:30;10.4
01/03/20 13:31;10.4
01/03/20 13:32;10.5
01/03/20 13:33;10.7
01/03/20 13:34;10.5
01/03/20 13:35;10.6
01/03/20 13:36;10.9
01/03/20 13:37;11.5
01/03/20 13:38;12
01/03/20 13:39;12.4
01/03/20 13:40;12.5
01/03/20 13:41;12.4
01/03/20 13:42;12.5
01/03/20 13:43;12.6
01/03/20 13:44;12.6
01/03/20 13:45;13.3
01/03/20 13:46;13.1
01/03/20 13:47;13.6
01/03/20 13:48;13
01/03/20 13:49;12.6
01/03/20 13:50;13.2
01/03/20 13:51;13.6
01/03/20 13:52;13.8
01/03/20 13:53;14
01/03/20 13:54;14.2
01/03/20 13:55;14.1
01/03/20 13:56;13.7
01/03/20 13:57;13.9
01/03/20 13:58;13.7
01/03/20 13:59;14.1
01/03/20 14:00;14.1
01/03/20 14:01;14.1
01/03/20 14:02;14.3
01/03/20 14:03;14.3
01/03/20 14:04;14.6
01/03/20 14:05;14.2
01/03/20 14:06;13.9
01/03/20 14:07;13.2
01/03/20 14:08;12.4
01/03/20 14:09;12.2
01/03/20 14:10;12.2
01/03/20 14:11;12.1
01/03/20 14:12;12.1
01/03/20 14:13;12
01/03/20 14:14;12.2
01/03/20 14:15;12.7
01/03/20 14:16;13
01/03/20 14:17;12.9
01/03/20 14:18;12.6
01/03/20 14:19;13
01/03/20 14:20;13.5
01/03/20 14:21;14.5
01/03/20 14:22;14.7
01/03/20 14:23;14.6
01/03/20 14:24;14.9
01/03/20 14:25;15.1
01/03/20 14:26;14.5
01/03/20 14:27;14.2
01/03/20 14:28;13.7
01/03/20 14:29;13.4
01/03/20 14:30;13.3
01/03/20 14:31;13.2
01/03/20 14:32;13.5
01/03/20 14:33;13.6
01/03/20 14:34;13.5
01/03/20 14:35;13.8
01/03/20 14:36;13.6
01/03/20 14:37;13.3
01/03/20 14:38;12.9
01/03/20 14:39;12.8
01/03/20 14:40;13.1
01/03/20 14:41;13.8
01/03/20 14:42;13.9
01/03/20 14:43;13.3
01/03/20 14:44;13.2
01/03/20 14:45;13
01/03/20 14:46;13.5
01/03/20 14:47;14.1
01/03/20 14:48;14
01/03/20 14:49;14.4
01/03/20 14:50;15
01/03/20 14:51;15.1
01/03/20 14:52;15.5
01/03/20 14:53;15.6
01/03/20 14:54;15.9
01/03/20 14:55;15.7
01/03/20 14:56;15.4
01/03/20 14:57;14.9
01/03/20 14:58;15.4
01/03/20 14:59;16.2
01/03/20 15:00;16.1
01/03/20 15:01;15.8
01/03/20 15:02;14.7
01/03/20 15:03;14.5
01/03/20 15:04;14.8
01/03/20 15:05;15.1
01/03/20 15:06;14.8
01/03/20 15:07;15.1
01/03/20 15:08;15.5
01/03/20 15:09;15.7
01/03/20 15:10;14.8
01/03/20 15:11;14.7
01/03/20 15:12;15.1
01/03/20 15:13;15.1
01/03/20 15:14;15.2
01/03/20 15:15;14.9
01/03/20 15:16;15.1
01/03/20 15:17;15.5
01/03/20 15:18;15.5
01/03/20 15:19;15.3
01/03/20 15:20;14.9
01/03/20 15:21;14.6
01/03/20 15:22;15.1
01/03/20 15:23;15
01/03/20 15:24;15
01/03/20 15:25;14.8
01/03/20 15:26;15.2
01/03/20 15:27;15.2
01/03/20 15:28;14.6
01/03/20 15:29;15
01/03/20 15:30;14.9
01/03/20 15:31;14.9
01/03/20 15:32;15.2
01/03/20 15:33;15.9
01/03/20 15:34;16.3
01/03/20 15:35;16.4
01/03/20 15:36;16.4
01/03/20 15:37;16.3
01/03/20 15:38;15.9
01/03/20 15:39;15.8
01/03/20 15:40;16.6
01/03/20 15:41;16.8
01/03/20 15:42;16.5
01/03/20 15:43;16
01/03/20 15:44;15.9
01/03/20 15:45;16
01/03/20 15:46;16.6
01/03/20 15:47;16.3
01/03/20 15:48;16.3
01/03/20 15:49;15.6
01/03/20 15:50;15.3
01/03/20 15:51;15.9
01/03/20 15:52;16.1
01/03/20 15:53;15.9
01/03/20 15:54;15.9
01/03/20 15:55;15.6
01/03/20 15:56;15.8
01/03/20 15:57;15.9
01/03/20 15:58;15.5
01/03/20 15:59;15.9
01/03/20 16:00;15.9
01/03/20 16:01;15.8
01/03/20 16:02;15.8
01/03/20 16:03;16.1
01/03/20 16:04;15.8
01/03/20 16:05;15.7
01/03/20 16:06;16.1
01/03/20 16:07;16.1
01/03/20 16:08;16
01/03/20 16:09;15.6
01/03/20 16:10;16
01/03/20 16:11;16.2
01/03/20 16:12;16.6
01/03/20 16:13;17
01/03/20 16:14;16.7
01/03/20 16:15;16.7
01/03/20 16:16;16.7
01/03/20 16:17;17
01/03/20 16:18;16.9
01/03/20 16:19;17.5
01/03/20 16:20;16.8
01/03/20 16:21;16.6
01/03/20 16:22;15.8
01/03/20 16:23;15.7
01/03/20 16:24;15.7
01/03/20 16:25;16.4
01/03/20 16:26;16.8
01/03/20 16:27;16.8
01/03/20 16:28;16.4
01/03/20 16:29;16.4
01/03/20 16:30;16.6
01/03/20 16:31;16.6
01/03/20 16:32;16.8
01/03/20 16:33;16.9
01/03/20 16:34;16.8
01/03/20 16:35;16.8
01/03/20 16:36;17.4
01/03/20 16:37;17.8
01/03/20 16:38;17.9
01/03/20 16:39;18.1
01/03/20 16:40;17.5
01/03/20 16:41;18.3
01/03/20 16:42;18.7
01/03/20 16:43;17.4
01/03/20 16:44;17
01/03/20 16:45;17.5
01/03/20 16:46;16.8
01/03/20 16:47;16.7
01/03/20 16:48;17.1
01/03/20 16:49;17.6
01/03/20 16:50;18.1
01/03/20 16:51;17.8
01/03/20 16:52;17.6
01/03/20 16:53;17.6
01/03/20 16:54;17.2
01/03/20 16:55;17.2
01/03/20 16:56;17.2
01/03/20 16:57;17
01/03/20 16:58;16.8
01/03/20 16:59;16.5
01/03/20 17:00;17.2
